db_id,id_within_district,HSD,Name,Level,Authority,Ownership,NHPI Code,HSDT Code
26,6,East Moyo HSD,Agojo Health Centre II,HC II,MOH,Govt,HFDHNVJT5,SCKRIHM57/PAWAPPCA1/8001
27,7,East Moyo HSD,Ajeri Health Centre II,HC II,MOH,Govt,HFJVSAK61,SCJHNFQB9/PAMFQXO77/8001
28,8,East Moyo HSD,Ajugopi Health Centre II,HC II,MOH,Govt,HFOBWJEA8,SC8DFHJP0/PANV7VBT7/8002
29,9,East Moyo HSD,Aliwara Health Centre II,HC II,MOH,Govt,HFM6JYLH4,SCJHNFQB9/PAFP34J26/8001
30,10,East Moyo HSD,Anzoa Medical Bureau Health Centre III,HC III,Private,PFP,HFC744W36,SCUEWLBS0/PAPIJ5KN7/8001
31,11,East Moyo HSD,Arinyapi Health Centre II,HC II,MOH,Govt,HFKU4DS82,SCBHIWJ48/PAQ9CCZ93/8001
32,12,East Moyo HSD,Arra (Adjumani) Health Centre II,HC II,MOH,Govt,HFSZEA4L4,SCE8ALXE1/PAV4DHXF6/8001
33,13,East Moyo HSD,Ayilo  Health Centre II,HC II,MOH,Govt,HFNGE5RP4,SCKSOLUN7/PAVLPQZ59/8002
34,14,East Moyo HSD,Ayilo Reugee Settlement Health Centre III,HC III,UNHCR,Govt,HFYSWIBV4,SCKSOLUN7/PAVLPQZ59/8001
35,15,East Moyo HSD,Ayiri Refugee Settlement Health Centre III,HC III,UNHCR,Govt,HFZZXVVG0,SCB7US3P8/PAZ5YJ2M7/8002
36,16,East Moyo HSD,Bira Health Centre III,HC III,MOH,Govt,HFVVL6EG1,SCKSOLUN7/PA4IHB8B6/8001
37,17,East Moyo HSD,Ciforo Health Centre III,HC III,MOH,Govt,HFCTQC5P7,SCKRIHM57/PAKDO36D2/8001
38,18,East Moyo HSD,Dzaipi Health Centre III,HC III,MOH,Govt,HFYT3FSM5,SC8DFHJP0/PAUBL5776/8001
39,19,East Moyo HSD,Elegu Health Centre II,HC II,MOH,Govt,HFPMLMDD6,SCBHIWJ48/PAUZO5ZH0/8001
40,20,East Moyo HSD,Elema Health Centre II,HC II,MOH,Govt,HFZSASTV5,SC8DFHJP0/PA3G8DNH0/8001
41,21,East Moyo HSD,Kureku Health Centre II,HC II,MOH,Govt,HFNXKAX42,SCZCUDRN4/PAURRBH48/8001
42,22,East Moyo HSD,Lewa Health Centre II,HC II,MOH,Govt,HFVFI7X71,SCKSOLUN7/PAS7KNOA0/8001
43,23,East Moyo HSD,Maaji A Health Centre II,HC II,MOH,Govt,HFE7PXWV2,SCB7US3P8/PAW2LKKD0/8001
44,24,East Moyo HSD,Maaji B Health Centre II,HC II,MOH,Govt,HFDN9PLG7,SCB7US3P8/PAZ5YJ2M7/8001
45,25,East Moyo HSD,Magburu Health Centre II,HC II,MOH,Govt,HFCNUVB62,SCKRIHM57/PATIE9LH8/8001
46,26,East Moyo HSD,Maryland Kocoa Health Centre III,HC III,UEC (UCMB),PNFP,HFKCWD7T3,SCKSOLUN7/PATHGF9C3/8001
47,27,East Moyo HSD,Mungula Health Centre IV,HC IV,MOH,Govt,HFV8HGWS7,SCJHNFQB9/PAWQHQ6Q5/8001
48,28,East Moyo HSD,Nyumanzi Health Centre II,HC II,MOH,Govt,HFKR28S68,SC8DFHJP0/PANV7VBT7/8001
49,29,East Moyo HSD,Obilokongo Health Centre II,HC II,MOH,Govt,HFMRMNNO4,SCTVTLD94/PARCR3DK6/8001
50,30,East Moyo HSD,Ofua Health Centre III,HC III,MOH,Govt,HFAVBH3C7,SCZCUDRN4/PAAYJZVC3/8001
51,31,East Moyo HSD,Ogolo Health Centre II,HC II,MOH,Govt,HFMW8FS66,SCBHIWJ48/PA3PT3GX7/8001
52,32,East Moyo HSD,Olia Health Centre II,HC II,MOH,Govt,HFN69A750,SCKSOLUN7/PAW3XRVJ5/8001
53,33,East Moyo HSD,Opejo Health Centre II,HC II,MOH,Govt,HFSWURBQ0,SCKRIHM57/PA3K2NET0/8001
54,34,East Moyo HSD,Openzinzi Health Centre III,HC III,MOH,Govt,HFR6XIYX2,SCTVTLD94/PAM36ZEV2/8001
55,35,East Moyo HSD,Pachara Health Centre II,HC II,MOH,Govt,HFVM3CI25,SCE8ALXE1/PAHROWYD0/8001
56,36,East Moyo HSD,Pakele Health Centre III,HC III,MOH,Govt,HF82UOCZ2,SCKSOLUN7/PALGHG8Y7/8001
57,37,East Moyo HSD,Robidire Health Centre III,HC III,UEC (UCMB),PNFP,HFGN5DYN6,SCE8ALXE1/PA2IG6AZ8/8001
58,38,East Moyo HSD,Uderu Health Centre II,HC II,MOH,Govt,HFAMJVWM0,SCE8ALXE1/PA4ZV99T6/8001
59,39,East Moyo HSD,Ukusijoni Health Centre III,HC III,MOH,Govt,HFWSXXBD5,SCB7US3P8/PAFYWZS70/8001
60,40,East Moyo HSD,Zoka Health Centre II,HC II,MOH,Govt,HF6EAV5H7,SCJHNFQB9/PAGCOW444/8001
61,1,Agago HSD,Abilonino Health Centre II,HC II,MOH,Govt,HFBHXXZ97,SCZZE8KY3/PAJRVXBX9/8001
62,2,Agago HSD,Acholpii Health Centre III,HC III,MOH,Govt,HFGJZ9CF6,SCWUYEKW4/PAMKUBSU7/8001
63,3,Agago HSD,Acuru Health Centre II,HC II,MOH,Govt,HFDFODGU1,SCWKR3PY1/PARBQ3656/8001
64,4,Agago HSD,Adilang Health Centre III,HC III,MOH,Govt,HFYNQ7UI8,SCFQWJWP3/PA96EEG45/8001
65,5,Agago HSD,Alop Health Centre II,HC II,MOH,Govt,HF3EROUN1,SCFQWJWP3/PACGYYXE7/8001
66,6,Agago HSD,Amyel Health Centre II,HC II,MOH,Govt,HFI4QLRJ8,SCZZE8KY3/PAYP6F3U6/8001
67,7,Agago HSD,Geregere Health Centre II,HC II,MOH,Govt,HFV5D2TC2,SCXYUK6A1/PAA86J5Z1/8001
68,8,Agago HSD,Kabala Health Centre II,HC II,MOH,Govt,HFE4W6ZV0,SCJDZKSB5/PA42RWSC9/8001
69,9,Agago HSD,Kalongo Ambrosoli Memerial  General Hospital,Hospital,UEC (UCMB),PNFP,HFGJPJ7Q2,SCGYJLFL0/PAQDQO799/8001
70,10,Agago HSD,Kokil Health Centre II,HC II,MOH,Govt,HFQO73XH0,SCENPLBW0/PAPPALHU2/8001
71,11,Agago HSD,Kotomor Health Centre III,HC III,MOH,Govt,HF5V7EN86,SCFVQTER3/PAR33UC30/8001
72,12,Agago HSD,Kuywee Health Centre II,HC II,MOH,Govt,HFUD92LC9,SCSVQNLM5/PAQJHS3W4/8001
73,13,Agago HSD,Kwonkic Health Centre II,HC II,MOH,Govt,HFKOPALU7,SCB6UNVP4/PALMIOMC6/8001
74,14,Agago HSD,Lamiyo Health Centre II,HC II,MOH,Govt,HFGSPBBD4,SCB6UNVP4/PAXFE6N66/8001
75,15,Agago HSD,Lanyirinyiri Health Centre II,HC II,MOH,Govt,HFVP5QXB2,SCWKR3PY1/PA39BFJS4/8001
76,16,Agago HSD,Lapirin Health Centre III,HC III,MOH,Govt,HFIMX2YR2,SCELPSWX8/PA7API5G7/8001
77,17,Agago HSD,Layita Health Centre II,HC II,MOH,Govt,HF7JK4ZJ4,SCTRM2XP2/PAV4EE494/8001
78,18,Agago HSD,Ligiligi Health Centre II,HC II,MOH,Govt,HFUSLKD63,SCFQWJWP3/PAJ4ZD8L8/8001
79,19,Agago HSD,Lira Kaket Health Centre II,HC II,MOH,Govt,HFUDF7UX2,SCZZE8KY3/PA6KNOS41/8002
80,20,Agago HSD,Lira Kato Health Centre III,HC III,MOH,Govt,HF5BILNH7,SCZZE8KY3/PA4PB7R99/8001
81,21,Agago HSD,Lira Palwo Health Centre III,HC III,MOH,Govt,HF8WAP2G5,SCWKR3PY1/PAYBDB8P2/8002
82,22,Agago HSD,Lukole Health Centre III,HC III,MOH,Govt,HFDP7P7E0,SCO5EXUV5/PAD6RMAA3/8001
83,23,Agago HSD,Obolokome (Agago) Health Centre II,HC II,MOH,Govt,HF75Q8VN5,SCWKR3PY1/PAIX3OLZ6/8001
84,24,Agago HSD,Odokomit Health Centre II,HC II,MOH,Govt,HFECV4S22,SCFVQTER3/PA3S9A2J5/8001
85,25,Agago HSD,Ogwang Kamolo Health Centre II,HC II,MOH,Govt,HFNF25NY6,SCZZE8KY3/PANSPCD90/8001
86,26,Agago HSD,Okwadoko Health Centre II,HC II,MOH,Govt,HF52MTVJ6,SCSVQNLM5/PAAA5A8R0/8001
87,27,Agago HSD,Olung Health Centre II,HC II,MOH,Govt,HFL92K2G7,SCELPSWX8/PAGYNSFC0/8001
88,28,Agago HSD,Omiya Pacwa Health Centre II,HC II,MOH,Govt,HFF8AB6X3,SCTRM2XP2/PA2LQOPS8/8001
89,29,Agago HSD,Omot Health Centre II,HC II,MOH,Govt,HFQ7K8TO6,SCXYUK6A1/PAS2JKAI5/8001
90,30,Agago HSD,Ongalo Health Centre II,HC II,MOH,Govt,HFB9T6KB4,SCZZE8KY3/PA6KNOS41/8001
91,31,Agago HSD,Onudapet Health Centre II,HC II,MOH,Govt,HFRR2XP87,SCFVQTER3/PAA5AIMQ9/8001
92,32,Agago HSD,Orina Health Centre II,HC II,MOH,Govt,HF2ZRKA24,SCFQWJWP3/PAWB879Z5/8001
93,33,Agago HSD,Otumpili Health Centre II,HC II,MOH,Govt,HF338G5J5,SCELPSWX8/PAWHYF8V9/8001
94,34,Agago HSD,Pacer Health Centre II,HC II,MOH,Govt,HFCOOJ8N6,SCJDZKSB5/PAHBFZC46/8001
95,35,Agago HSD,Paimol Health Centre III,HC III,MOH,Govt,HFXNXK4J1,SCENPLBW0/PAOM3NZ55/8001
96,36,Agago HSD,Pakor Health Centre II,HC II,MOH,Govt,HFYTXMFI0,SCJDZKSB5/PARI5J9Y8/8001
97,37,Agago HSD,Patongo Health Centre III,HC III,MOH,Govt,HFJ4BSLB8,SCDBRX945/PAITO5VE8/8001
98,38,Agago HSD,St. Janani Health Centre II,HC II,UEC (UCMB),PNFP,HFSMRRSR8,SCWKR3PY1/PAYBDB8P2/8001
99,39,Agago HSD,Toroma Health Centre II,HC II,MOH,Govt,HFK9SFT95,SCSVQNLM5/PADVPLM98/8001
100,40,Agago HSD,Wol Health Centre III,HC III,MOH,Govt,HFZ3UIL77,SCSVQNLM5/PACYFKMX3/8001
101,1,Moroto HSD,Abako Health Centre III,HC III,MOH,Govt,HFI7IZW91,SCQXTPQ83/PANJB8M30/8001
102,2,Moroto HSD,Abako-Elim Health Centre II,HC II,UPMB,PNFP,HF8K5TAJ3,SCJFGQLQ6/PAFFK2JQ8/8001
103,3,Moroto HSD,Adwir Health Centre II,HC II,MOH,Govt,HFBFX7KG6,SCDPSEGP6/PA863TGB8/8001
104,4,Moroto HSD,Akura Health Centre II,HC II,MOH,Govt,HF4IE42B5,SCVPVRMB9/PAHK7JVQ8/8001
105,5,Moroto HSD,Alanyi Health Centre III,HC III,UEC (UCMB),PNFP,HFJAW87Y6,SCQXTPQ83/PA93XAG47/8001
106,6,Moroto HSD,Alebtong Abia GOVT Health Centre II,HC II,MOH,Govt,HF2KHVDV4,SCSSNDFJ8/PANI985W6/8001
107,7,Moroto HSD,Alebtong Health Centre IV,HC IV,MOH,Govt,HFU3PQ361,SCPKZ8T53/PA57FITX7/8001
108,8,Moroto HSD,Aloi Mission Health Centre III,HC III,UEC (UCMB),PNFP,HFOV2B9M2,SCVPVRMB9/PAORWR7E9/8001
109,9,Moroto HSD,Amugu Health Centre III,HC III,MOH,Govt,HFFU8GOV1,SCH3UKXW6/PAGQKI9K8/8001
110,10,Moroto HSD,Anara Health Centre II,HC II,MOH,Govt,HFT6KB2G7,SCCB3A783/PAHBK6CH4/8001
111,11,Moroto HSD,Angetta Health Centre II,HC II,MOH,Govt,HFLFT3744,SCDPSEGP6/PACIEUQQ2/8001
112,12,Moroto HSD,Anyanga Health Centre II,HC II,MOH,Govt,HFR3E7ML0,SCVPVRMB9/PAHHP54P2/8001
113,13,Moroto HSD,Apala Health Centre III,HC III,MOH,Govt,HFIBZ5IX7,SCISN7DA4/PAXN4FTY6/8001
114,14,Moroto HSD,Awei Health Centre II,HC II,MOH,Govt,HFU7ZEQJ8,SCJFGQLQ6/PAIDO7HY1/8001
115,15,Moroto HSD,Moroto Abia Health Centre II,HC II,MOH,Govt,HFE7JMIH7,SCSSNDFJ8/PAEFK9CU4/8001
116,16,Moroto HSD,Obim Health Centre II,HC II,MOH,Govt,HFTUELBU6,SCISN7DA4/PAHDGBFD4/8001
117,17,Moroto HSD,Omarari Health Centre II,HC II,MOH,Govt,HFKXJNCN9,SCDPSEGP6/PA5VVKSJ8/8001
118,18,Moroto HSD,Omoro Health Centre III,HC III,MOH,Govt,HF8GYAGD7,SCDPSEGP6/PAVHN4465/8001
119,19,Moroto HSD,Oteno Health Centre II,HC II,MOH,Govt,HFPZQJJC3,SCSSNDFJ8/PA6XKP3G9/8001
120,1,Kioga HSD,Acii Health Centre II,HC II,MOH,Govt,HFJCKVWW0,SC6VXKSK1/PA3LJJ6Q2/8001
121,2,Kioga HSD,Alemere Medical Aid Health Centre II,HC II,NGO,PNFP,HFTXCAEU6,SCJTR24M3/PAA6FG920/8001
122,3,Kioga HSD,Alyecmeda Health Centre II,HC II,MOH,Govt,HFYDUFXC1,SCWYIWWP5/PADEJRSX4/8001
123,4,Kioga HSD,Amai Community  General Hospital,Hospital,NGO,PNFP,HF5DLJWN4,SCDHTXST0/PAQ4YLPJ7/8001
124,5,Kioga HSD,Amolatar Health Centre IV,HC IV,MOH,Govt,HFVJCFTK3,SCJTR24M3/PAOKZKL91/8001
125,6,Kioga HSD,Anamwany Health Centre II,HC II,MOH,Govt,HFH4G4T95,SC9XL5XG0/PAF4P8S22/8001
126,7,Kioga HSD,Aputi Health Centre III,HC III,MOH,Govt,HFCI3XNZ8,SCDHTXST0/PAKYSFXO3/8001
127,8,Kioga HSD,Arwotcek Health Centre II,HC II,MOH,Govt,HFTJFMSW9,SC3GJ4UX1/PAYYHQGM6/8001
128,9,Kioga HSD,Awonangiro Health Centre II,HC II,MOH,Govt,HFBKKGNU9,SCXC3NUK6/PAAOFZT93/8001
129,10,Kioga HSD,Biko Health Centre II,HC II,MOH,Govt,HFOB2TVJ4,SCCDX2JK6/PAAYYO764/8001
130,11,Kioga HSD,Etam Health Centre III,HC III,MOH,Govt,HF9WETPF0,SCTVS6EJ5/PA9WTNMP0/8001
131,12,Kioga HSD,Nakatiti Health Centre II,HC II,MOH,Govt,HFH7C5X55,SC7ZDY9V1/PAVT6Y261/8001
132,13,Kioga HSD,Namasale Health Centre III,HC III,MOH,Govt,HF6PXJAO0,SC6VXKSK1/PALDC7L33/8001
133,1,Pokot HSD,Achorichor Health Centre II,HC II,MOH,Govt,HFCR7VVE9,SCS27GD43/PA9XRMRQ7/8001
134,2,Pokot HSD,Alakas Health Centre II,HC II,MOH,Govt,HFQNK74E6,SCS8I6TY4/PACXO3JE5/8001
135,3,Pokot HSD,Amudat  General Hospital,Hospital,UPMB,PNFP,HFHWETP68,SCU3HEAO2/PAAUI2HE6/8001
136,4,Pokot HSD,Amudat  Health Centre II,HC II,MOH,Govt,HF553GGF0,SCU3HEAO2/PAT4CUOO4/8001
137,5,Pokot HSD,Cheptapoyo Health Centre II,HC II,MOH,Govt,HFYEY8Y71,SCUNDO6Y7/PAUDXWLB4/8001
138,6,Pokot HSD,Karita Health Centre III,HC III,MOH,Govt,HF4DWIMI5,SCUNDO6Y7/PAQKNPE28/8001
139,7,Pokot HSD,Katabok (Amudat) Health Centre II,HC II,MOH,Govt,HFC6EGPS6,SCS8I6TY4/PAWAO2LT5/8001
140,8,Pokot HSD,Lokales Health Centre II,HC II,MOH,Govt,HFEKW9YT6,SCUNDO6Y7/PA2FYF566/8001
141,9,Pokot HSD,Loroo Health Centre III,HC III,MOH,Govt,HFVBN86P6,SCEGZNG53/PAK6FBEN3/8001
142,1,Amuria HSD,Abarilela Health Centre III,HC III,MOH,Govt,HFKYSSYZ5,SC5SG2HS4/PATKZMPP7/8001
143,2,Amuria HSD,Abeko CBO Health Centre II,HC II,CBO,PNFP,HFOSRMTX9,SCLBXY5Q9/PAIOL7R29/8002
144,3,Amuria HSD,Abeko Health Centre II,HC II,MOH,Govt,HFNAITVH3,SCLBXY5Q9/PAIOL7R29/8001
145,4,Amuria HSD,Abia Health Centre II,HC II,MOH,Govt,HFTSINCA5,SCANCFUH3/PA8SM3HT8/8001
146,5,Kapelebyong HSD,Acowa Health Centre III,HC III,MOH,Govt,HFELUU832,SCQDITG28/PABTRXIJ7/8001
147,6,Kapelebyong HSD,Aeket Health Centre II,HC II,MOH,Govt,HFS59PWW3,SCVYU94L6/PAOHDWQ27/8001
148,7,Kapelebyong HSD,Agonga Health Centre II,HC II,MOH,Govt,HF68ID8F2,SCVYU94L6/PAPD6RWH2/8001
149,8,Kapelebyong HSD,Airabet Health Centre II,HC II,MOH,Govt,HF3SKXWZ9,SCVYU94L6/PA4ACXMO5/8001
150,9,Kapelebyong HSD,Ajeleik Health Centre II,HC II,MOH,Govt,HF9ROLFJ2,SCQDITG28/PAMCQ5CI3/8001
151,10,Amuria HSD,Akeriau Health Centre II,HC II,MOH,Govt,HFT7RZZO3,SCLRTJ5A6/PAGALMMB1/8001
152,11,Kapelebyong HSD,Alito Health Centre II,HC II,MOH,Govt,HFR5MEOC8,SCA5PWAW8/PAYL2U2C2/8001
153,12,Kapelebyong HSD,Amaseniko Health Centre II,HC II,MOH,Govt,HF28X2D76,SCSQYB588/PAO3ZXC92/8001
154,13,Amuria HSD,Amilmil Health Centre II,HC II,MOH,Govt,HFPE6HRQ4,SCANCFUH3/PA26XW2W3/8001
155,14,Amuria HSD,Amolo  Health Centre II,HC II,MOH,Govt,HFFGEXQX5,SC652I3S7/PAC3CYCT1/8001
156,15,Amuria HSD,Amucu Health Centre III,HC III,UEC (UCMB),PNFP,HF4HX6EF6,SCV5EJTO3/PAHFH7I54/8001
157,16,Amuria HSD,Amuria Alere Health Centre II,HC II,MOH,Govt,HFWXP5OZ2,SCKWL7Z83/PAKLBIAZ3/8001
158,17,Amuria HSD,Amuria COU Health Centre II,HC II,UPMB,PNFP,HFS3U5AM5,SC45RHRI8/PATC46PU0/8001
159,18,Amuria HSD,Amuria Health Centre IV,HC IV,MOH,Govt,HF5EO5YN3,SC45RHRI8/PAVBDMX56/8001
160,19,Amuria HSD,Amusus CBO Health Centre II,HC II,CBO,PNFP,HF44KIRH6,SCANCFUH3/PAHEYZ4R6/8002
161,20,Amuria HSD,Amusus Health Centre III,HC III,MOH,Govt,HFSR96KJ7,SCANCFUH3/PAHEYZ4R6/8001
162,21,Kapelebyong HSD,Angerepo Health Centre II,HC II,MOH,Govt,HFE53YSO7,SCQDITG28/PA2FLT675/8001
163,22,Amuria HSD,Arute Health Centre II,HC II,MOH,Govt,HFZGHAPX7,SC5SG2HS4/PAHJ8TNJ5/8001
164,23,Amuria HSD,Asamuk Health Centre III,HC III,MOH,Govt,HFTOLBDD3,SC2NSDYZ4/PAAXFK6L0/8001
165,24,Amuria HSD,Calvary Chapel Health Centre II,HC II,UEC (UCMB),PNFP,HFMYJYED5,SC5GLK364/PAJIKQ4C2/8001
166,25,Kapelebyong HSD,Kapelebyong Health Centre IV,HC IV,MOH,Govt,HF28OPPT1,SCSQYB588/PA5P72223/8001
167,26,Amuria HSD,Morungatuny Health Centre III,HC III,MOH,Govt,HFBNJTU46,SCHVI36G3/PAXZPJG45/8001
168,27,Kapelebyong HSD,Nyada Health Centre II,HC II,MOH,Govt,HFHTBYQK5,SCSQYB588/PA4A324I4/8001
169,28,Kapelebyong HSD,Obalanga Health Centre III,HC III,MOH,Govt,HFMKKZNL6,SCA5PWAW8/PAANQGQK5/8001
170,29,Amuria HSD,Ogolokwara (Ajaki) Health Centre II,HC II,MOH,Govt,HFQVQFBG1,SCV5EJTO3/PA4KZFXX0/8001
171,30,Kapelebyong HSD,Okoboi Health Centre II,HC II,MOH,Govt,HFFUFJUH3,SCSQYB588/PAH9ZUJR6/8001
172,31,Amuria HSD,Olwa Health Centre II,HC II,MOH,Govt,HFHM4ZPU0,SCHVI36G3/PAQCBJ350/8001
173,32,Amuria HSD,Ongutoi Health Centre III,HC III,CBO,PNFP,HFE6TTSB7,SC5SG2HS4/PAEOKBLF4/8001
174,33,Amuria HSD,Orungo Health Centre III,HC III,MOH,Govt,HFL3ZWG59,SC5GLK364/PABS9BR22/8001
175,34,Amuria HSD,St Claire Orungo Health Centre III,HC III,UEC (UCMB),PNFP,HFA3F62M3,SCLBXY5Q9/PAGQLYWG5/8001
176,35,Amuria HSD,St Michael-wera Health Centre III,HC III,UEC (UCMB),PNFP,HFODOO5Q7,SC652I3S7/PANRUMTJ3/8001
177,36,Kapelebyong HSD,St. Francis Acumet Health Centre III,HC III,UEC (UCMB),PNFP,HFH2YI3E4,SCSQYB588/PAGJJSX42/8001
178,37,Amuria HSD,Uganda Government Prisons Health Centre II,HC II,UPS,Govt,HFY6VY6B3,SC45RHRI8/PA7BHJ529/8001
179,38,Amuria HSD,Wera Health Centre III,HC III,MOH,Govt,HF5DDACO4,SC652I3S7/PAFL8VH66/8001
180,1,Kwania HSD,Abedober Health Centre III,HC III,NGO,PNFP,HF7IERCT5,SCJFR3J98/PAMQNHDE0/8001
181,2,Kwania HSD,Abei Health Centre II,HC II,MOH,Govt,HF44NXCL4,SCLRAV823/PA5TJ6WR9/8001
182,3,Kwania HSD,Abongomola Health Centre III,HC III,MOH,Govt,HF9AKC6W4,SCJFR3J98/PA9UT6BM7/8001
183,4,Kwania HSD,Abwong Health Centre II,HC II,MOH,Govt,HFPD3JI41,SCJFR3J98/PA86BDAU9/8001
184,5,Kwania HSD,Acwao Health Centre II,HC II,MOH,Govt,HFYAPCEA7,SCTKVF6I6/PAFHI8EU2/8001
185,6,Kwania HSD,Aduku Health Centre IV,HC IV,MOH,Govt,HFBFDFND0,SCQI6OBJ7/PAARJOGI0/8001
186,7,Kwania HSD,Aduku Mission Health Centre II,HC II,UEC (UCMB),PNFP,HFHBCCIC2,SCQI6OBJ7/PAARJOGI0/8002
187,8,Maruzi HSD,Aganga Health Centre II,HC II,MOH,Govt,HF6ELCUU5,SCYFHH897/PA6O5AG99/8001
188,9,Kwania HSD,Akali Health Centre II,HC II,MOH,Govt,HFCYGRCX7,SCJFR3J98/PAQS7JNO6/8001
189,10,Maruzi HSD,Akokoro Health Centre III,HC III,MOH,Govt,HFLTICCB5,SCY29Y7I0/PASPHPZN4/8001
190,11,Maruzi HSD,Alado Health Centre II,HC II,MOH,Govt,HFPRFXTX8,SCYFHH897/PAZ7CG5Y4/8001
191,12,Maruzi HSD,Alenga Health Centre III,HC III,NGO,PNFP,HFR9JXTK0,SCYFHH897/PABEUPAN6/8001
192,13,Maruzi HSD,Alworoceng Health Centre II,HC II,MOH,Govt,HFIO9D8L3,SCYFHH897/PAB5KXQP1/8001
193,14,Kwania HSD,Aninolal Health Centre II,HC II,MOH,Govt,HFD39KHH7,SC7Y45QD4/PAGD4QZU7/8001
194,15,Maruzi HSD,Apac  General Hospital,Hospital,MOH,Govt,HFQ6TCRR6,SC2293I82/PAVF3S754/8002
195,16,Maruzi HSD,Apac Medical Centre (Apac) Health Centre II,HC II,Private,PFP,HFNJTQPW4,SC2293I82/PAVF3S754/8001
196,17,Maruzi HSD,Apac Prisons Health Centre II,HC II,UPS,Govt,HFRH6LYB6,SC2293I82/PAOHL4EY0/8001
197,18,Kwania HSD,Apire Health Centre III,HC III,MOH,Govt,HFBGZEOW4,SCVKYCCD9/PAZKUXIB3/8001
198,19,Maruzi HSD,Apoi Health Centre III,HC III,MOH,Govt,HF6WK6EE4,SCY29Y7I0/PAHJ9CC72/8001
199,20,Kwania HSD,Apwori Health Centre III,HC III,MOH,Govt,HFOEVUVN7,SCLRAV823/PA3EKPGH6/8001
200,21,Maruzi HSD,Atar  Health Centre II,HC II,MOH,Govt,HFRA32FJ3,SCE3JVPS7/PABUWCL77/8001
201,22,Maruzi HSD,Awila Medicare Clinic Health Centre II,HC II,Private,PFP,HFDIEBT55,SCY29Y7I0/PATVFRV53/8001
